GeneID,log2FC
AT1G06460,-0.9339
AT1G32130,-0.1494
AT1G77260,-0.2336
AT4G31300,0.6457
AT4G02830,-0.689
AT2G17300,2.8355
AT2G23090,0.3023
AT4G29930,0.3928
AT4G32140,-0.0806
AT2G36220,0.1011
AT3G23080,0.3746
AT3G45750,0.4224
AT4G35060,1.9235
AT5G36160,0.2873
AT1G08470,1.9544
AT1G72630,1.5744
AT2G47020,1.2098
AT3G15910,4.0698
AT4G18730,-0.0883
AT5G41765,1.3479
AT2G39130,0.9282
AT3G45140,-5.4279
AT4G16280,0.3063
AT5G14770,0.8096
AT1G13080,0.7566
AT2G07712,2.4323
AT3G29630,-1.1872
AT1G27930,1.8467
AT1G08190,0.7454
AT4G19920,-1.8738
AT5G58310,0.1257
AT3G62170,8.7002
AT5G40810,-0.1149
AT1G67785,-0.9656
AT3G18080,1.5616
AT1G09880,-1.6937
AT2G22720,0.4188
AT2G45550,1.5624
AT4G28540,0.785
AT3G25410,2.5059
AT3G14000,2.641
AT5G44160,1.5563
AT1G75950,0.5509
AT4G10810,0.441
AT2G03290,0.3647
AT5G01420,1.2615
AT3G03305,-0.0925
AT4G04565,2.3919
AT3G11620,-0.451
AT3G47930,0.2442
